municipio_id,ibi_urbana_rd_20_2011,year
6149,2012,0.77
6150,2012,0.6
6151,2012,0.61
6152,2012,0.5
6153,2012,0.7
6154,2012,0.6552
6155,2012,0.55
6156,2012,0.77
6157,2012,0.5
6158,2012,0.7
6159,2012,0.686
6160,2012,0.4
6161,2012,0.55
6162,2012,0.704
6901,2012,0.77
6902,2012,0.825
7001,2012,0.935
7002,2012,0.678
7003,2012,0.5
7004,2012,0.37
7005,2012,0.7304
7006,2012,0.5
7007,2012,0.5
7008,2012,0.5
7009,2012,0.7
7010,2012,0.605
7011,2012,0.685
7012,2012,0.836
7013,2012,0.596
7014,2012,0.715
7015,2012,0.7535
7016,2012,0.979
7017,2012,0.715
7018,2012,0.583
7019,2012,0.5
7020,2012,1.1
7021,2012,0.4
7022,2012,0.514
7023,2012,0.84
7024,2012,1.155
7025,2012,0.5
7026,2012,0.88
7027,2012,0.58
7028,2012,0.66
7029,2012,1.1
7030,2012,0.66
7031,2012,0.564
7032,2012,0.68
7033,2012,0.773
7034,2012,0.728
7035,2012,0.583
7036,2012,0.5148
7037,2012,0.61
7038,2012,0.52
7039,2012,0.1
7040,2012,0.808
7041,2012,0.5
7042,2012,0.5
7043,2012,0.572
7044,2012,0.51
7045,2012,0.5
7046,2012,0.86
7047,2012,0.5
7048,2012,0.5
7049,2012,0.55
7050,2012,0.825
7051,2012,0.6
7052,2012,0.555
7053,2012,0.475
7054,2012,0.5
7055,2012,0.7
7056,2012,0.45
7057,2012,0.847
7058,2012,0.5
7059,2012,0.5
7060,2012,0.55
7061,2012,0.884
7062,2012,0.59
7063,2012,0.5
7064,2012,0.7208
7065,2012,0.564
7901,2012,1.1
7902,2012,0.636
8001,2012,0.792
8002,2012,0.447
8003,2012,0.814
8004,2012,0.875
8005,2012,0.57
8006,2012,0.929
8007,2012,0.88
8008,2012,0.675
8009,2012,0.76
8010,2012,0.5
8011,2012,0.935
8012,2012,0.52
8013,2012,0.53
8014,2012,0.78
8015,2012,1.09461
8016,2012,0.604
8017,2012,0.99
8018,2012,0.5
8019,2012,0.825
8020,2012,0.8
8021,2012,0.66
8022,2012,0.77
8023,2012,0.933
8024,2012,0.59
8025,2012,0.935
8026,2012,0.935
8027,2012,0.885
8028,2012,0.946
8029,2012,0.961
8030,2012,0.52
8031,2012,1.16
8032,2012,1.114
8033,2012,0.49
8034,2012,0.7
8035,2012,0.959
8036,2012,0.748
8037,2012,1.16
8038,2012,0.5
8039,2012,0.742
8040,2012,1.071
8041,2012,0.779
8042,2012,0.901
8043,2012,0.826
8044,2012,1.16
8045,2012,1.1
8046,2012,0.832
8047,2012,0.79
8048,2012,0.62
8049,2012,0.836
8050,2012,0.66
8051,2012,0.7293
8052,2012,0.54
8053,2012,0.503
8054,2012,0.598
8055,2012,0.88
8056,2012,0.51
8057,2012,0.432
8058,2012,0.66
